date,close
2025-08-25,36430.74
2025-08-26,35303.74
2025-08-27,37791.24
2025-08-28,38785.98
2025-08-29,41472.78
2025-09-01,44278.41
2025-09-02,41266.82
2025-09-03,38849.38
2025-09-04,40969.41
2025-09-05,40668.21
2025-09-08,41062.40
2025-09-09,40236.43
2025-09-10,38904.77
2025-09-11,36919.39
2025-09-12,36061.94
2025-09-15,36493.76
2025-09-16,37240.81
2025-09-17,38339.44
2025-09-18,37529.25
2025-09-19,36794.53
2025-09-22,36765.81
2025-09-23,36274.20
2025-09-24,34337.66
2025-09-25,33918.97
2025-09-26,32229.47
2025-09-29,32986.12
2025-09-30,32899.83
2025-10-01,30149.28
2025-10-02,31761.07
2025-10-03,30618.78
2025-10-06,29692.79
2025-10-07,28953.58
2025-10-08,28821.71
2025-10-09,29742.79
2025-10-10,30943.12
2025-10-13,30508.72
2025-10-14,29020.51
2025-10-15,31084.28
2025-10-16,31244.23
2025-10-17,28922.14
2025-10-20,30436.01
2025-10-21,32438.81
2025-10-22,33026.93
2025-10-23,34368.84
2025-10-24,31353.30
2025-10-27,31379.72
2025-10-28,29176.87
2025-10-29,28374.55
2025-10-30,29731.54
2025-10-31,29243.76
2025-11-03,27797.16
2025-11-04,26092.37
2025-11-05,25786.08
2025-11-06,26231.71
2025-11-07,27116.56
2025-11-10,25915.85
2025-11-11,26121.50
2025-11-12,24992.41
2025-11-13,23286.56
2025-11-14,20659.22
2025-11-17,20596.96
2025-11-18,20344.22
2025-11-19,21945.91
2025-11-20,22243.85
2025-11-21,20850.14
2025-11-24,20837.05
2025-11-25,20930.30
2025-11-26,21203.29
2025-11-27,22766.77
2025-11-28,22798.76
2025-12-01,22653.41
2025-12-02,22877.52
2025-12-03,22881.87
2025-12-04,23998.33
2025-12-05,22454.40
2025-12-08,23335.29
2025-12-09,24208.41
2025-12-10,24349.97
2025-12-11,26556.12
2025-12-12,28161.37
2025-12-15,29984.84
2025-12-16,29075.79
2025-12-17,28799.91
2025-12-18,27225.31
2025-12-19,26739.09
2025-12-22,25290.07
2025-12-23,25706.73
2025-12-24,24261.82
2025-12-25,24215.38
2025-12-26,23720.38
2025-12-29,22526.73
2025-12-30,24214.26
2025-12-31,24610.20
2026-01-01,24401.16
2026-01-02,23857.16
2026-01-05,23489.95
2026-01-06,25266.25
2026-01-07,26053.45
2026-01-08,28328.39
2026-01-09,28547.11
2026-01-12,25993.62
2026-01-13,29203.66
2026-01-14,29022.55
2026-01-15,30143.55
2026-01-16,30055.77
2026-01-19,28896.12
2026-01-20,29290.38
2026-01-21,29752.29
2026-01-22,28250.41
2026-01-23,29429.29
2026-01-26,27169.23
2026-01-27,26698.52
2026-01-28,27238.91
2026-01-29,26200.20
2026-01-30,27876.48
2026-02-02,26775.95
2026-02-03,26023.07
2026-02-04,25157.08
2026-02-05,26168.58
2026-02-06,27098.52
2026-02-09,26749.87
2026-02-10,27783.58
2026-02-11,27731.07
2026-02-12,27657.61
2026-02-13,27920.88
2026-02-16,29328.81
2026-02-17,28641.09
2026-02-18,27856.25
2026-02-19,26627.00
2026-02-20,25686.30
2026-02-23,24968.02
2026-02-24,25890.16
2026-02-25,27031.46
2026-02-26,26959.01
2026-02-27,26957.69
2026-03-02,26865.13
2026-03-03,25705.38
2026-03-04,24891.74
2026-03-05,26261.33
2026-03-06,28486.10
2026-03-09,27559.90
2026-03-10,26972.00
2026-03-11,26200.01
2026-03-12,25936.45
2026-03-13,26143.75
2026-03-16,25406.59
2026-03-17,24784.19
2026-03-18,24846.72
2026-03-19,26061.03
2026-03-20,26333.76
2026-03-23,25456.63
2026-03-24,26680.08
2026-03-25,25033.85
2026-03-26,24990.86
2026-03-27,26402.99
2026-03-30,26047.91
2026-03-31,27077.29
2026-04-01,26635.72
2026-04-02,26897.63
2026-04-03,28984.70
2026-04-06,29696.30
2026-04-07,29138.75
2026-04-08,29771.64
2026-04-09,29356.15
2026-04-10,29958.73
2026-04-13,29575.88
2026-04-14,27972.72
2026-04-15,30118.08
2026-04-16,30219.40
2026-04-17,32321.20
2026-04-20,31868.75
2026-04-21,32255.60
2026-04-22,33833.65
2026-04-23,31160.37
